Name,Year,Date,Comp,Age,Event,Location,Place,Round,Time,Time_sec,Partner
JH,2019,9/3/19,Nationals,U23,MK1 1000m,Perth,2,Semi-Final,03:42.3,222.3,
JH,2019,10/3/19,Nationals,U23,MK1 500m,Perth,4,Final,01:44.6,104.6,
JH,2019,9/3/19,Nationals,U23,MK1 500m,Perth,3,Semi-Final,01:40.3,100.3,
JH,2019,10/3/19,Nationals,U23,MK2 1000m,Perth,4,Final,03:19.6,199.6,Byron Chadwick
JH,2019,10/3/19,Nationals,U23,MK2 500m,Perth,1,B Final,01:34.4,94.4,Byron Chadwick
JH,2020,16/3/20,Nationals,U23,MK1 1000m,SIRC,1,B Final,03:43.0,223,
JH,2020,16/3/20,Nationals,U23,MK1 500m,SIRC,4,B Final,01:44.6,104.6,
JL,2020,16/3/20,Nationals,U18,WK1 200m,SIRC,4,Final,00:44.3,44.3,
JL,2020,16/3/20,Nationals,U18,WK1 500m,SIRC,1,Final,01:59.8,119.8,
JL,2020,16/3/20,Nationals,U18,WK2 200m,SIRC,2,Final,00:43.9,43.9,Chaise Richardson
JL,2020,16/3/20,Nationals,U18,WK2 500m,SIRC,3,Final,01:55.8,115.8,Chaise Richardson
JM,2018,10/3/18,Nationals,Open,MK1 1000m,Sydney,1,Final,03:30.0,210,
JS,2020,16/3/20,Nationals,U18,MK1 1000m,SIRC,3,Final,03:51.8,231.8,
JS,2020,16/3/20,Nationals,U18,MK1 200m,SIRC,5,Final,00:41.0,41,
JS,2020,16/3/20,Nationals,U18,MK1 500m,SIRC,4,Final,01:51.1,111.1,
JS,2020,16/3/20,Nationals,U18,MK2 1000m,SIRC,1,Final,03:30.7,210.7,Fletcher Armstrong
JS,2020,16/3/20,Nationals,U18,MK2 200m,SIRC,1,Final,00:35.9,35.9,Fletcher Armstrong
JS,2020,16/3/20,Nationals,U18,MK2 500m,SIRC,1,Final,01:39.8,99.8,Fletcher Armstrong
JS,2017,10/3/17,Nationals,U18,WK1 500m,SIRC,1,Final,02:03.9,123.9,
JS,2017,5/3/17,Nationals,U18,WK1 500m,SIRC,2,Heat,02:03.1,123.1,
JS,2018,6/3/18,Nationals,U23,WK1 200m,SIRC,8,Heat,00:48.4,48.4,
JS,2018,10/3/18,Nationals,U23,WK1 500m,SIRC,2,B Final,01:59.4,119.4,
JS,2018,10/3/18,Nationals,U23,WK2 500m,SIRC,7,Final,01:53.1,113.1,Francesca Kidd
JS,2018,10/3/18,Nationals,U23,WK2 500m,SIRC,5,Final,01:53.5,113.5,Francesca Kidd
JS,2019,10/3/19,Nationals,Open,WK1 500m,Perth,2,B Final,01:56.4,116.4,
JS,2020,16/3/20,Nationals,U23,WK1 200m,SIRC,1,B Final,00:45.1,45.1,
JS,2020,16/3/20,Nationals,U23,WK1 500m,SIRC,2,B Final,02:00.4,120.4,
JS,2020,16/3/20,Nationals,U23,WK2 200m,SIRC,4,Final,00:42.4,42.4,Georgia Sinclair
JS,2020,16/3/20,Nationals,U23,WK2 500m,SIRC,7,Final,01:51.7,111.7,Georgia Sinclair
KD,2013,7/4/13,Nationals,U16,WK1 200m,Perth,8,Final,00:55.4,55.4,
KD,2013,6/4/13,Nationals,U16,WK1 200m,Perth,5,Semi-Final,00:50.1,50.1,
KD,2013,5/4/13,Nationals,U16,WK1 500m,Perth,6,Heat,02:34.4,154.4,
KD,2013,7/4/13,Nationals,U16,WK2 200m,Perth,6,Final,00:55.5,55.5,Hannah Yeates
KD,2014,30/3/14,Nationals,U18,WK1 200m,Adelaide,4,B Final,00:50.2,50.2,
KD,2014,28/3/14,Nationals,U18,WK1 200m,Adelaide,4,Heat,00:49.1,49.1,
KD,2014,30/3/14,Nationals,U18,WK1 500m,Adelaide,5,Final,02:16.9,136.9,
KD,2014,29/3/14,Nationals,U18,WK1 500m,Adelaide,6,Semi-Final,02:13.6,133.6,
KD,2014,30/3/14,Nationals,U18,WK2 200m,Adelaide,8,Final,00:49.9,49.9,Matilda Stevenson
KD,2014,29/3/14,Nationals,U18,WK2 200m,Adelaide,1,Semi-Final,00:46.2,46.2,Matilda Stevenson
KD,2014,30/3/14,Nationals,U18,WK2 500m,Adelaide,8,Final,02:04.9,124.9,Matilda Stevenson
KD,2015,15/3/15,Nationals,U18,WK1 200m,Perth,4,Final,00:46.4,46.4,
KD,2015,15/3/15,Nationals,U18,WK1 500m,Perth,7,Final,02:06.4,126.4,
KD,2015,14/3/15,Nationals,U18,WK1 500m,Perth,2,Semi-Final,02:02.8,122.8,
KD,2015,15/3/15,Nationals,U18,WK2 200m,Perth,1,Final,00:42.7,42.7,Rachel Duncan
KD,2015,15/3/15,Nationals,U18,WK2 500m,Perth,2,Final,01:51.5,111.5,Rachel Duncan
KD,2015,13/3/15,Nationals,U18,WK2 500m,Perth,2,Heat,01:51.5,111.5,Rachel Duncan
KD,2016,6/3/16,Nationals,U23,WK1 200m,Perth,8,B Final,00:46.8,46.8,
KD,2016,5/3/16,Nationals,U23,WK1 200m,Perth,8,Semi-Final,00:46.2,46.2,
KD,2016,4/3/16,Nationals,U23,WK1 500m,Perth,8,Heat,02:07.4,127.4,
KD,2016,6/3/16,Nationals,U23,WK2 200m,Perth,7,Final,00:45.0,45,Isabella Kristensen
KD,2017,10/3/17,Nationals,U23,WK1 200m,SIRC,3,B Final,00:44.8,44.8,
KD,2017,5/3/17,Nationals,U23,WK1 500m,SIRC,5,Heat,02:05.4,125.4,
KD,2017,9/3/17,Nationals,U23,WK1 500m,SIRC,9,Semi-Final,02:17.1,137.1,
KD,2017,10/3/17,Nationals,U23,WK2 200m,SIRC,8,Final,00:44.2,44.2,Freya Alston
KD,2017,9/3/17,Nationals,U23,WK2 200m,SIRC,1,Semi-Final,00:43.8,43.8,Freya Alston
KD,2017,10/3/17,Nationals,U23,WK2 500m,SIRC,8,Final,01:56.1,116.1,Freya Alston
KD,2018,10/3/18,Nationals,U23,WK1 200m,SIRC,9,Final,00:42.9,42.9,
KD,2018,9/3/18,Nationals,U23,WK1 200m,SIRC,3,Semi-Final,00:42.9,42.9,
KD,2018,26/7/18,World Champs,U23,WK1 500m,Bulgaria,8,Semi-Final,01:58.7,118.7,
KD,2018,10/3/18,Nationals,U23,WK2 200m,SIRC,5,Final,00:42.6,42.6,Freya Alston
